Pays;Num;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
Belgique;1;52,1;52,4;51,2;50,4;50,1;49,1;49,1;49,8;51,0;49,2;51,9;48,5;48,2;49,8;53,7;52,6;53,6;55,1;54,7
Bulgarie;2;45,6;49,0;33,9;38,4;40,0;41,3;40,6;39,6;39,1;38,6;37,3;34,4;39,2;38,4;41,4;37,4;35,6;35,8;38,7
République tchèque;3;53,0;41,7;42,6;43,0;42,2;41,6;43,9;45,6;50,0;43,3;43,0;42,0;41,0;41,1;44,7;43,7;43,2;44,5;42,3
Danemark;4;59,3;58,9;56,7;56,3;55,5;53,7;54,2;54,6;55,1;54,6;52,8;51,6;50,8;51,5;58,1;57,7;57,7;59,4;57,2
Allemagne;5;54,9;49,1;48,2;48,0;48,2;45,1;47,6;47,9;48,5;47,1;46,9;45,3;43,5;44,1;48,3;47,9;45,2;44,7;44,7
Estonie;6;41,3;39,4;37,4;39,2;40,1;36,1;34,8;35,8;34,8;34,0;33,6;33,6;34,0;39,7;44,7;40,5;37,6;39,5;38,3
Irlande;7;40,9;39,2;36,8;34,7;34,2;31,1;33,2;33,5;33,2;33,7;33,9;34,5;36,7;42,8;48,2;65,5;47,1;42,6;42,9
Grèce;8;51,3;49,4;50,2;49,6;49,8;46,7;45,4;45,1;44,7;45,5;44,6;45,4;47,5;50,6;54,0;51,4;51,9;53,4;58,5
Espagne;9;44,5;43,2;41,6;41,1;39,9;39,2;38,7;38,9;38,4;38,9;38,4;38,4;39,2;41,4;46,2;46,3;45,7;47,8;44,8
France;10;54,4;54,5;54,2;52,8;52,6;51,7;51,7;52,9;53,4;53,3;53,6;53,0;52,6;53,3;56,7;56,6;55,9;56,7;57,1
Croatie;11;:;:;:;:;:;:;:;46,6;44,6;45,2;44,0;44,2;44,0;43,4;46,2;46,9;48,1;45,7;45,9
Italie;12;52,2;52,2;50,0;48,9;47,9;45,9;47,7;47,1;48,1;47,5;47,9;48,5;47,6;48,6;51,9;50,5;49,7;50,6;50,6
Chypre;13;33,4;35,4;36,5;36,7;36,7;37,1;38,0;40,0;44,6;42,4;43,1;42,6;41,3;42,1;46,2;46,2;46,3;45,8;45,8
Lettonie;14;38,4;37,1;36,2;39,1;41,6;37,6;35,0;36,0;34,9;35,9;35,8;38,3;36,0;39,1;43,6;43,4;38,4;36,5;36,1
Lituanie;15;34,4;36,4;50,2;41,1;40,8;39,8;37,5;35,4;33,8;34,0;34,0;34,2;35,3;37,9;44,9;42,3;38,7;36,1;34,5
Luxembourg;16;39,7;41,1;40,7;41,1;39,2;37,6;38,1;41,5;41,8;42,6;41,5;38,6;36,3;39,1;45,2;43,5;42,6;43,9;43,5
Hongrie;17;55,8;51,4;49,9;51,2;49,2;47,8;47,8;51,5;49,7;49,1;50,1;52,2;50,7;49,2;51,4;50,0;50,0;48,7;50,0
Malte;18;38,5;41,0;41,4;41,7;41,6;39,5;41,2;41,7;45,6;43,6;43,6;43,2;41,8;43,3;42,5;41,2;41,3;43,1;43,9
Pays-Bas;19;56,4;49,4;47,5;46,7;46,0;44,2;45,4;46,2;47,1;46,1;44,8;45,5;45,3;46,2;51,4;51,3;49,9;50,4;49,8
Autriche;20;56,3;55,9;53,5;53,7;53,4;51,9;51,3;50,7;51,3;53,8;50,0;49,1;48,6;49,3;52,6;52,8;50,8;51,6;51,2
Pologne;21;47,7;51,0;46,4;44,3;42,7;41,1;43,8;44,3;44,7;42,6;43,4;43,9;42,2;43,2;44,6;45,4;43,4;42,2;41,9
Portugal;22;41,9;42,4;41,6;41,4;41,5;41,6;43,2;43,1;44,7;45,4;46,6;45,2;44,4;44,8;49,8;51,5;49,3;47,4;48,7
Roumanie;23;34,1;33,2;34,6;35,8;39,2;38,6;36,2;35,0;33,5;33,6;33,6;35,5;38,2;39,3;41,1;40,1;39,4;36,7;35,0
Slovénie;24;52,3;44,2;44,5;45,4;46,2;46,5;47,3;46,2;46,2;45,6;45,1;44,3;42,3;44,1;48,7;49,5;49,9;48,4;59,4
Slovaquie;25;48,6;53,7;48,9;45,8;48,1;52,1;44,5;45,1;40,1;37,7;38,0;36,5;34,2;34,9;41,6;39,8;38,9;38,2;38,7
Finlande;26;61,5;60,1;56,6;52,9;51,7;48,3;48,0;49,0;50,3;50,2;50,3;49,2;47,4;49,2;56,1;55,8;55,1;56,7;58,5
Suède;27;64,9;62,9;60,7;58,8;58,1;55,1;54,5;55,6;55,7;54,2;53,9;52,7;51,0;51,7;54,9;52,3;51,5;52,0;52,9
Royaume-Uni;28;43,0;41,5;39,8;38,9;38,5;36,4;39,8;40,9;41,8;42,7;43,4;43,6;43,3;47,1;50,8;49,9;47,9;48,1;46,9
Islande;29;42,7;42,2;40,7;41,3;42,0;41,9;42,6;44,3;45,6;44,0;42,2;41,6;42,3;57,7;51,0;51,6;47,4;47,4;46,3
Norvège;30;50,9;48,5;46,8;49,1;47,7;42,3;44,1;47,1;48,2;45,1;41,8;40,0;40,3;39,8;46,2;45,2;43,9;43,3;44,7
Suisse;31;34,8;35,2;35,3;35,4;34,7;35,6;34,8;36,9;36,3;35,9;35,2;33,2;32,1;32,1;34,1;33,9;33,7;34,1;:
